Name,Description,Muscles Involved,Related Conditions,Structures Involved,URL
Banded Shoulder Lateral Glide,"The banded shoulder lateral glide exercise is a band assisted glenohumeral joint mobilization exercise. Start by anchoring a band to a stable object and lie down on your back (on a bench or on the floor, keep the band anchoring to body height when lying down on the floor). Loop the free end of the band around your upper arm. Raise the arm to 90 degrees shoulder flexion and hold it in place with your opposite arm. While keeping the target shoulder as relaxed as possible, gently pull your elbow inwards and hold for up to 2 second. Slowly let the band pull the arm back out and repeat as required.",N/A,N/A,glenohumeral joint,https://www.rehabhero.ca/exercise/banded-shoulder-lateral-glide
Segmental Thoracolumbar Extension,"The segmental thoracolumbar extension exercise is a self directed joint mobilization exercise for the thoracic spine. This exercise requires an exercise bench or a stable cushioned chair. Start by supporting your back with the thoracolumbar region of your spine placed at the edge of the bench (where the mid back becomes the low back). Use both hands to grab the bench overhead and use your arms to stabilize your body. Your legs can be anywhere between hip and shoulder distance apart with the hips extended so that you’re in a bridge position. Be sure to maintain bench contact with your head, neck, and shoulders. Begin by gently lowering the hips towards the ground, dropping only as deep as tolerated by your back (do not push through pain, stick to pain free ranges of motion). Stay at the bottom position for up to 2 seconds and raise the hips back up to return the spin back to a neutral position.",N/A,N/A,"Thoracic spineThoracic Facet Jointcostovertebral jointcostotransverse joint, Thoracic Facet Joint, costovertebral joint, costotransverse joint, Lumbar spineLumbar Facet Joint, Lumbar Facet Joint",https://www.rehabhero.ca/exercise/segmental-thoracolumbar-extension
Kneeling Shoulder Distraction,"The kneeling shoulder distraction is a shoulder flexibility exercise that aims to gap the glenohumeral joint. Anchor one end of a thick strength band to a stable pull up bar, band anchor or squat rack. Set up a padded surface for your knees and go into a tall kneel position, lining the body up to be parallel with the band. Loop the free end around your wrist with your arm raised up beside you to shoulder height. Lean to the side & away from the band while relaxing the shoulder muscles. Let gravity stretch the muscles of the shoulder and hold for up to 30 seconds.",N/A,"Frozen Shoulder / adhesive capsulitis, shoulder impingement, posterior capsule impingement",N/A,https://www.rehabhero.ca/exercise/kneeling-shoulder-distraction
Pinch Grip Plate Supination,"The pinch grip plate supination exercise is a wrist, finger and hand strengthening exercise that will target the supinators of the forearm and finger flexors. Pinch 2 light weight exercise plates between your thumb and other fingers. Bend your elbow to 90 degrees. Rotate you palm so that it faces the floor to get into starting position. From there, rotate the wrist so that palm faces up to the ceiling. Return back to a palm down orientation to complete a reptition. Repeat this exercise as required and within a tolerable range of motion.","Supinator, Biceps Brachii, adductor pollicis, first dorsal interossei, flexor pollicis brevis","Wrist Impingement, Tennis Elbow, Golfer’s Elbow, Carpal Tunnel Syndrome, De Quervain’s Tenosynovitis, Texter’s Thumb",N/A,https://www.rehabhero.ca/exercise/pinch-grip-plate-supination
Dowel Isometric Supination,"The dowel isometric supination exercise strengthens the wrist supinators and works as a wrist stability exercise. Start by holding onto a straight bar cable attachment, clubbell, or dowel with an underhand grip. Bend the elbow to 90 degrees. Maintain a palms up hand orientation and place your free hand on top of the stick. Rotate the wrist into supination and use the free hand to block the movement. Hold an isometric contraction for 5-10 seconds and relax for 5-10 seconds before completing another repetition. Repeat as required.",N/A,N/A,"Supinator, Biceps Brachii",https://www.rehabhero.ca/exercise/dowel-isometric-supination
Dowel Ulnar Deviation,"The dowel ulnar deviationis a wrist strengthening exercise that challenges the muscles of the forearm using a broomstick or dowel. This exercise gets easier the closer your grip is to the center of the stick and is completed while standing. Grip a dowel on one end of the stick with the thumb closest to the end (the stick will be behind you, palms will be facing towards the body). Begin to raise the stick by raising the pinky side of your fist towards the ceiling. Slowly lower the stick to complete a repetition.","Extensor carpi ulnaris, flexor carpi ulnaris","Dorsal Wrist Impingement, Functional Wrist Instability, Tennis Elbow, Golfer’s elbow",N/A,https://www.rehabhero.ca/exercise/dowel-ulnar-deviation
Supinated Cross Body Reverse Fly,"The supinated cross body reverse fly exercise is used to strengthen the scapular retractors and shoulder horizontal abductors. This exercise may be completed on a cable pulley machine, functional trainer, or using bands. Start by anchoring a band to a stable object at roughly chest height. Hold a band with your palm facing up and raise it to just below shoulder height. Set your arm up so that it is across the chest with light tension in the band with your body standing in parallel with the band. Pull the band out in a straight line until you reach max shoulder horizontal abduction. Squeeze the shoulder blade back to retract the scapula simultaneously. Return your arm across your body to complete a repetition.","Middle Trapezius, Rhomboids, Rotator Cuffinfraspinatusteres minor, infraspinatus, teres minor, Posterior Deltoids","Warm Up, Rhomboid Strain, Upper Cross Syndrome, Rotator Cuff Tear, Rotator cuff tendinopathy",N/A,https://www.rehabhero.ca/exercise/supinated-cross-body-reverse-fly
Cross Body Reverse Fly,"The cross body reverse fly exercise is used to strengthen the scapular retractors and shoulder horizontal abductors. This exercise may be completed on a cable pulley machine, functional trainer, or using bands. Start by anchoring a band to a stable object at roughly chest height. Hold a band with your palm facing down and raise it to just below shoulder height. Set your arm up so that it is across the chest with light tension in the band with your body standing in parallel with the band. Pull the band out in a straight line until you reach max shoulder horizontal abduction. Squeeze the shoulder blade back to retract the scapula simultaneously. Return your arm across your body to complete a repetition.","Middle Trapezius, Rhomboids, Rotator Cuffinfraspinatusteres minor, infraspinatus, teres minor, Posterior Deltoids","Warm Up, Rhomboid Strain, Upper Cross Syndrome, Rotator Cuff Tear, Rotator cuff tendinopathy",N/A,https://www.rehabhero.ca/exercise/cross-body-reverse-fly
Front Raise Pulse,The front raise pulse is a rotator cuff strengthening exercise that will also challenge the glenohumeral joint in dynamic stabilization. Wrap a mini band around your hands or wrists and pull it apart in small bursts as you raise your hands forwards until they are over your head. Continue to pulse the band as you lower your arms down to a rested position to complete a repetition.,"Rotator Cuffinfraspinatusteres minor, infraspinatus, teres minor, Deltoidsposterior deltoid, posterior deltoid, Trapezius","Rotator Cuff Tear / Rotator Cuff Tendinopathy, Deltoid Strain, shoulder impingement, dynamic shoulder instability, glenohumeral labral tear",N/A,https://www.rehabhero.ca/exercise/front-raise-pulse
Sword Draw,The sword draw is a rotator cuff strengthening exercise that uses an exercise band to provide multidirectional resistance. Anchor one end of the band down to a stable object at hip height. Start with the target shoulder’s hand at the opposite hip with the thumb pointed backwards while gripping the band. Simultaneously rotate the hand into a thumbs up position as your pull the band across the body and overhead. This motion should resemble drawing a sword and saluting it overhead.,"Rotator Cuffinfraspinatusteres minorsupraspinatus, infraspinatus, teres minor, supraspinatus, Lower Trapezius","Shoulder Impingement, Dynamic Shoulder Instability, Labral Tear, Rotator Cuff Tear / Tendinopathy / Tendinitis, SLAP Lesion, Posterior Capsule Impingement",N/A,https://www.rehabhero.ca/exercise/sword-draw
Face Pull Press,The face pull press is a strengthening exercise to target the scapular retractors and shoulder external rotators. Loop a band around a stable object like a squat rack at shoulder height. Grab one end of the band with your hand and pull your hands back to your shoulders. Keep your elbows stacked directly below your wrists by keeping your forearms vertical to the floor. Raise your hands above your head without allowing your hands to shift forwards relative to your elbows.,"Rhomboids, Trapezius, Rotator Cuff (Teres Minor, Infraspinatus, Supraspinatus), Posterior Deltoid","Scapular Dyskinesis / Dyskinesia, Rotator Cuff Tear / Rotator Cuff Tendinitis, Shoulder Impingement, Dynamic Shoulder Instability, Snapping Scapula, Overhead Squat Warm Up, Rounded Shoulders, Upper Cross Syndrome",N/A,https://www.rehabhero.ca/exercise/face-pull-press
Pull Back Full Raise,The pull back full raise exercise is used to strengthen multidirectional horizontal abduction. Start by anchoring a band to a stable object in front of you like a band anchor or squat rack. Anchor the band at roughly the height of your navel. Hold the free end of the band with one arm and face the anchor point. While keeping a relatively straight arm (slight bend in the elbow is acceptable) abduct your shoulder by raising the arm beside you until you reach a full overhead reaching position. Lower the arm back down to complete a repetition.,"posterior deltoid, trapezius, supinator, lateral deltoid, rhomboids",N/A,N/A,https://www.rehabhero.ca/exercise/pull-back-full-raise
Banded Reverse Nordic Curl,"The banded reverse nordic curl is an assisted strengthening exercise for the knee extensors. Start by looping a heavy pullup assist band around the body and anchor it to a stable pull up bar or squat rack. Start in a tall kneel position and slowly lean backwards as far as you can without falling. Recline backwards while keeping a neutral hip angle. You may grip onto the band if you require additional assistance. Keep the core braced to hold a neutral spine. Once at end range, contract the quadriceps to return the body to a tall kneel position.","Superficial Front Line / Anterior ChainQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique (VMO)Iliopsoaspsoas majoriliacusRectus AbdominusExtensor Hallucis Longus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique (VMO), rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique (VMO), Iliopsoaspsoas majoriliacus, psoas major, iliacus, Rectus Abdominus, Extensor Hallucis Longus","Jumper’s Knee / Runner’s Knee, Patellofemoral Pain Syndrome (PFPS), Quadriceps Tendinitis / Patellar Tendinitis, Quadriceps Strain, Meniscus Tear (Late Stage Rehab)",N/A,https://www.rehabhero.ca/exercise/banded-reverse-nordic-curl
Banded Reclining Hero Pose,The banded reclining hero pose is a yoga inspired exercise that stretches the knee extensors. This is an exercise regression of the RECLINING HERO POSE. It is recommended to perform this exercise on a padded and stable surface. Set up a band on a stable object at around shoulder height and loop it around your upper back (just below the armpits). Start in a kneeling position and sit on the floor with both knees bent and your bum sitting between your feet. Begin to recline back with your upper body until your back is fully supported by the floor. Hold the band with your hands for added support. Hold this stretch for up to 30 seconds to complete a repetition. Alternate sides if required.,"Superficial front linerectus abominisiliopsoaspsoas majoriliacusQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus abominis, iliopsoaspsoas majoriliacus, psoas major, iliacus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique",N/A,N/A,https://www.rehabhero.ca/exercise/banded-reclining-hero-pose
Single Leg Reclining Hero Pose,The single leg reclining hero pose is a yoga inspired exercise that stretches the knee extensors. This is an exercise regression of the RECLINING HERO POSE. It is recommended to perform this exercise on a padded and stable surface. Start in a kneeling position and sit on the floor with one knee bent and one leg straight in front of you. Begin to recline back with your upper body until your back is fully supported by the floor. Keep your arms straight overhead. Hold this stretch for up to 30 seconds to complete a repetition. Alternate sides if required.,"Superficial front linerectus abominisiliopsoaspsoas majoriliacusQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus abominis, iliopsoaspsoas majoriliacus, psoas major, iliacus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique",N/A,N/A,https://www.rehabhero.ca/exercise/single-leg-reclining-hero-pose
Yoga Block Reclining Hero Pose,The yoga block reclining hero pose is a yoga inspired exercise that stretches the knee extensors. This is an exercise regression of the RECLINING HERO POSE. It is recommended to perform this exercise on a padded and stable surface. Start in a kneeling position and sit on the floor so that your bum is between your feet. Place a yoga block behind you. Begin to recline back with your upper body until your lower back is fully supported by the yoga block and upper back supported by the floor. Keep your arms straight overhead. Hold this stretch for up to 30 seconds to complete a repetition.,"Superficial front linerectus abominisiliopsoaspsoas majoriliacusQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus abominis, iliopsoaspsoas majoriliacus, psoas major, iliacus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique",N/A,N/A,https://www.rehabhero.ca/exercise/yoga-block-reclining-hero-pose
Pillow Reclining Hero Pose,The pillow reclining hero pose is a yoga inspired exercise that stretches the knee extensors. It is an exercise regression of the RECLINING HERO POSE. It is recommended to perform this exercise on a padded and stable surface. Start in a kneeling position and sit on the floor so that your bum is between your feet. Place a thick cushion or pillow directly behind you. Begin to recline back with your upper body until your upper back is fully supported by the pillow. Keep your arms straight overhead. Hold this stretch for up to 30 seconds to complete a repetition.,"Superficial front linerectus abominisiliopsoaspsoas majoriliacusQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus abominis, iliopsoaspsoas majoriliacus, psoas major, iliacus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique",N/A,N/A,https://www.rehabhero.ca/exercise/pillow-reclining-hero-pose
Reclining Hero Pose,The reclining hero pose is a yoga inspired exercise that stretches the knee extensors. It is recommended to perform this exercise on a padded and stable surface. Start in a kneeling position and sit on the floor so that your bum is between your feet. Begin to recline back with your upper body until your upper back is fully supported by the floor. Keep your arms straight overhead. Hold this stretch for up to 30 seconds to complete a repetition.,"Superficial front linerectus abominisiliopsoaspsoas majoriliacusQuadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus abominis, iliopsoaspsoas majoriliacus, psoas major, iliacus, Quadricepsrectus femorisvastus lateralisvastus intermediusvastus medialisvastus medialis oblique, rectus femoris, vastus lateralis, vastus intermedius, vastus medialis, vastus medialis oblique",N/A,N/A,https://www.rehabhero.ca/exercise/reclining-hero-pose
Seated Thoracic Rotation,"The seated thoracic rotation is a mobility exercise that can be done at your desk or office. Begin the exercise by first placing one hand behind your head and the other flat on the floor while you are sitting in a stable chair or bench. Reach down while keeping the arm against the inner aspect of your leg. While maintaining a bent over position, rotate through the spine until the elbow points towards the ceiling. Return back to starting position to complete a repetition.",N/A,"Text Neck, Cervicogenic Headaches, Upper Cross Syndrome, Forward Head Posture, Rib Joint Pain","Thoracic Spine, Obliques, Latissimus Dorsi, Multifidus, Rhomboids, Trapezius",https://www.rehabhero.ca/exercise/seated-thoracic-rotation
Dynamic Incline Pigeon,The dynamic incline pigeon is a mobility exercise. This exercise requires an exercise bench that can be set up in a 30 to 45 degree incline. Rotate your front thigh and place your outer shin on the inclined bench so that the knee is higher than your foot. Place the other leg behind you. Drop the hip towards the ground and use your hands to support your body if needed. Continue to hinge forwards at the hips until you reach your maximal tolerable range. Extend the hip to return to a neutral position and repeat as required.,"Gluteus Maximus, Gluteus Medius, Piriformis","Piriformis Syndrome, Hip Spine Syndrome, Low Back Pain, Sacroiliac Joint Syndrome, hip hypomobility",N/A,https://www.rehabhero.ca/exercise/dynamic-incline-pigeon
Incline Pigeon Pose,The incline pigeon pose is a regressed version of the PIGEON STRETCH. This exercise requires an exercise bench that can be set up in a 30 to 45 degree incline. Rotate your front thigh and place your outer shin on the inclined bench so that the knee is higher than your foot. Place the other leg behind you. Drop the hip towards the ground and use your hands to support your body if needed. Keep the spine neutral to isolate the stretch to the hips. You may hinge forwards at the hips while maintaining a neutral spine to deepen the stretch. Take 3-5 deep breaths or hold for 20-30 seconds and switch sides.,"Gluteus Maximus, Gluteus Medius (posterior fibers), Piriformis","Piriformis Syndrome, Hip Spine Syndrome, Low Back Pain, Sacroiliac Joint Syndrome, hip hypomobility",N/A,https://www.rehabhero.ca/exercise/incline-pigeon-pose
PNF Hip Abductor Stretch,"The pnf hip abductor stretch is a proprioceptive neuromuscular facilitation stretch used to target the lateral hip muscles. Start by anchoring a strong pullup assist band to a stable anchor at roughly hip height. Lie down on your back on a padded surface with your foot looped through the free end of the pullup assist band. Lie down so that the band pulls your foot into a light hip adduction stretch and hold this stretch for 5-7 seconds. Then activate the hip abductors by pushing into the band’s resistance without overpowering it. Hold this muscle contraction for 5-7 seconds. Once again relax and allow the band to pull you into deeper hip adduction, repeating as required.","Hip abductorsgluteus minimusgluteus mediusgluteus maximustensor fascia latae (TFL), gluteus minimus, gluteus medius, gluteus maximus, tensor fascia latae (TFL)",N/A,N/A,https://www.rehabhero.ca/exercise/pnf-hip-abductor-stretch
Supine Sacrum Block,The supine sacrum block exercise is used to passively stretch the hip flexors. Start by placing a yoga block below the tail bone and lie down on it while face up. Allow your body to relax and hips to go into passive extension and feel a light stretch through the front of your hips. Hold this stretch for up to 30 seconds.,N/A,N/A,"hip flexorsiliopsoaspsoas majoriliacusrectus femoristensor fascia latae (TFL)pectineus, iliopsoaspsoas majoriliacus, psoas major, iliacus, rectus femoris, tensor fascia latae (TFL), pectineus",https://www.rehabhero.ca/exercise/supine-sacrum-block
90/90 Stretch,"The 90/90 stretch is a hip internal and external rotation flexibility exercise. Sit on the ground with your knees bent in front of you wider than shoulder distance apart. Rotate one leg into internal rotation and the other into external rotation. Your thighs should be 90 degrees to each other, you can reposition the body to achieve this if needed. Hold the end range position for up to 30 seconds before alternating sides.","Tensor Fascia Latae (TFL), Gluteus Minimus, Gluteus Medius Anterior Fibers","Snapping Hip Syndrome, Hip Impingement, Glute Amnesia, Non-Specific Low Back Pain, Piriformis Syndrome",N/A,https://www.rehabhero.ca/exercise/9090-stretch
Side Lying Hip Internal Rotation,"The side lying hip internal rotation exercise is a hip active range of motion and mobility exercise. Start by lying down on your side and flex your top hip to 90 degrees (with the knee resting on a foam roller or yoga block). While keeping the knee pinned down to the support, rotate it internally so that the foot moves towards the ceiling. Hold your end range position for up to 5 seconds. Then lower the foot towards the floor to return to neutral hip rotation.","Internal Hip RotatorsPiriformisPectineusTensor Fascia Latae (TFL)Gluteus Minimus Gluteus Medius (Anterior Fibers)Gracilis, Piriformis, Pectineus, Tensor Fascia Latae (TFL), Gluteus Minimus, Gluteus Medius (Anterior Fibers), Gracilis","Hip Impingement, External Snapping Hip Syndrome, Greater Trochanteric Pain Syndrome, Hip Bursitis, ITB Syndrome, Lower Kinetic Pain Syndrome, SIJ Syndrome",N/A,https://www.rehabhero.ca/exercise/side-lying-hip-internal-rotation
Wrist Flexor Tendon Gliding,"The wrist flexor tendon gliding exercise is a wrist mobility exercise. Raise your arm up to 90 degrees shoulder flexion and extend the wrist to 90 degrees extension. Starting with straight fingers, flex your hand so that the fingers are flexed at the middle knuckles and distal knuckles (claw grip). Then straighten the middle and distal knuckles while flexing the proximal knuckles (table top position). From there, bend the middle and proximal knuckles while straightening out the straight knuckles. Finally flex all knuckles to create a full fist. Straighten all knuckles to complete the exercise and repeat as needed.","Flexor Digitorum Profundus, Flexor Digitorum Superficialis","Finger Sprain, Golfer’s Elbow, Carpal Tunnel Syndrome, Pronator Teres Syndrome",N/A,https://www.rehabhero.ca/exercise/wrist-flexor-tendon-gliding
Hip Sciatic Nerve Flossing,"The hip sciatic nerve flossing exercise is used to mobilize the sciatic nerve to help reduce inflammation and peripheral nerve impingement. Generally this exercise is to be done in a pain free range of motion, if the end ranges are intolerable you can modify the exercise by moving through a smaller range of motion. Start by lying down on your back on a padded surface like a yoga mat. Keep both legs straight and parallel with the ground. With your target leg, raise it by flexing the hip while maintaining a straight knee and neutral ankle. Complete this movement while simultaneously going into cervical extension (looking up with your head). Once maximal tolerable and tension free range is reached, begin to lower the leg while raising the head off of the ground (into cervical flexion) to complete a repetition.",N/A,"L4-L5, L5-S1 Lumbar Disc Herniation, Piriformis Syndrome, Peripheral Sciatic Nerve Entrapment, Sciatica, Disc Bulge or Bulging Disc, Slipped Disc, Prolapsed Disc, Herniated Nucleus Palposus (HNP)",Sciatic Nerve,https://www.rehabhero.ca/exercise/hip-sciatic-nerve-flossing
Ankle Sciatic Nerve Flossing,"The ankle sciatic nerve flossing exercise is used to mobilize the sciatic nerve to help reduce inflammation and peripheral nerve impingement. Generally this exercise is to be done in a pain free range of motion, if the end ranges are intolerable you can modify the exercise by shortening the range. This exercise is recommended to be completed on a padded surface like a yoga mat. Begin by lying down on your back with one thigh raise to 90 degrees hip flexion and supported with both arms. Extend the knee as much as you can without experiencing nerve tension symptoms. Keep the non-target leg straight and parallel with the floor. Floss the sciatic nerve by simultaneously looking up with your head while dorsiflexing (heel pointing towards ceiling) your raised foot. Once your maximal tolerable and tension free range is reached, plantarflex the ankle (toes pointing to ceiling) while looking down with your head to complete a repetition.",N/A,"L4-L5, L5-S1 Lumbar Disc Herniation, Piriformis Syndrome, Peripheral Sciatic Nerve Entrapment, Sciatica, Disc Bulge or Bulging Disc, Slipped Disc / Pinched Disc, Prolapsed Disc, Herniated Nucleus Pulposus (HNP)",Sciatic Nerve,https://www.rehabhero.ca/exercise/ankle-sciatic-nerve-flossing
Knee Sciatic Nerve Flossing,"The knee sciatic nerve flossing exercise is used to mobilize the sciatic nerve to help reduce inflammation and peripheral nerve impingement. Generally this exercise is to be done in a pain free range of motion, if the end ranges are intolerable you can modify the exercise by shortening the range. This exercise is recommended to be completed on a padded surface like a yoga mat. Begin by lying down on your back with one thigh raise to 90 degrees hip flexion and supported with both arms. Keep the non-target leg straight and parallel with the floor. Floss the sciatic nerve by simultaneously look up with your head while extending your raised knee. Once your maximal tolerable and tension free range is reached, bend the knee while looking down with your head to complete a repetition.",N/A,"L4-L5, L5-S1 Lumbar Disc Herniation, Piriformis Syndrome, Peripheral Sciatic Nerve Entrapment, Sciatica, Disc Bulge or Bulging Disc, Slipped Disc / Pinched Disc, Prolapsed Disc, Herniated Nucleus Pulposus (HNP)",Sciatic Nerve,https://www.rehabhero.ca/exercise/knee-sciatic-nerve-flossing
Desk Thread the Needle,"The desk thread the needle is a thoracic mobility exercise that challenges rotation. This exercise can be completed while sitting at your desk. Start by leaning forwards with your arms supported by the desk and hips pushed back. Stretch one arm directly towards the ceiling and use the other to reach forwards at the same time. Once you’ve reach maximal range with the arm reaching towards the ceiling, lower your arm and reach below and across your body. Take 2-3 deep breathes before alternating sides.",N/A,"Rib Joint Pain, Neck Associated Disorder, Text Neck, Upper Cross Syndrome","Thoracic Spine, Rhomboids, Trapezius, serratus posterior superior, serratus posterior inferior",https://www.rehabhero.ca/exercise/desk-thread-the-needle
Bent-Over Row,The bent-over row is a strengthening exercise to target the scapular retractors and upper back. Hold a weight in one hand and hinge at the hips until your other is supported by a bench. Keep the spine in neutral and the knees lightly bent. Pull the weight towards your abdomen to complete a row. Focus on squeezing the shoulders blades back as if to squeeze a pencil between them. Keep the shoulders down and back as you complete the exercise to minimize shrugging.,"Rhomboids, Trapezius, Latissimus Dorsi","Rounded Shoulders / Postural Exercise, Upper Cross Syndrome, Rhomboid Strain, Strength Training, Scapular Dyskinesis / Dyskinesia",N/A,https://www.rehabhero.ca/exercise/bent-over-row-1
Kettlebell 90/90 Hip Thrust,The kettlebell 90/90 hip thrust is a hip mobility exercise that targets the front leg in internal rotation and the back leg in external rotation and transitions them through hip extension to a neutral flexion position. It is a modified and advanced version of the 90/90 HIP SWITCH exercise. Hold a kettlebell in each hand with bulb of the weight resting comfortably on your forearms. Sit down on the floor with your legs bent to 90 degrees a the knees and feet placed wider than shoulder width apart. Proceed to internally rotate the front leg and externally rotate the back leg until both knees reach the floor. Proceed to then lift the pelvis off the ground to extend the hips. Reverse the motion and repeat for the opposite side.,"Glutes (Gluteus Maximus, Medius, Minimus), TFL (Tensor Fascia Latae)","Squat Warm Up, External Snapping Hip Syndrome, Greater Trochanter Pain Syndrome / Bursitis, Gluteal Tendinopathy, Glute Amnesia, Sacroiliac Joint Syndrome",N/A,https://www.rehabhero.ca/exercise/kettlebell-9090-hip-thrust
Incline Bench Scapular Row,"The incline bench scapular row is an exercise to target the scapular retractors found in the upper back. Start by setting up an incline bench to 45-60 degrees. Lie on the bench so that your chest makes contact with the cushion. While holding weights in each hand and keeping both elbows straight, shrug your shoulders directly up towards the ceiling. Hold the shrug for up to 2 seconds before slowly lowering them back to starting position.","Upper trapezius, Levator scapulae, Middle Trapezius, rhomboids",N/A,N/A,https://www.rehabhero.ca/exercise/incline-bench-scapular-row
Incline Bench Empty Can Raise,The incline bench empty can raise is a shoulder abduction and horizontal abduction strengthening exercise. Lie down on your stomach while on a bench set up to 45 degrees. Hold a dumbbell in each hand with an overhand grip. Keep your chest on the bench during this exercise. Raise your arms to the side to raise the weight up. Focus on retracting the shoulder blades as you raise the weight up. Lower your arms to complete a repetition,"Upper Trapezius, Middle Trapezius, Posterior Deltoid, Supraspinatus","Dynamic Shoulder Instability, Shoulder Impingement / Subacromial Impingement, Upper Cross Syndrome, Posture (Hunched Shoulders), scapular winging, scapular dyskinesia, rotator cuff tendinitis",N/A,https://www.rehabhero.ca/exercise/incline-bench-empty-can-raise
Incline Bench Full Can Raise,The incline bench full can raise is a shoulder abduction and horizontal abduction strengthening exercise. Lie down on your stomach while on a bench set up to 45 degrees. Hold a dumbbell in each hand with an underhand grip. Keep your chest on the bench during this exercise. Raise your arms to the side to raise the weight up. Focus on retracting the shoulder blades as you raise the weight up. Lower your arms to complete a repetition,"Upper Trapezius, Middle Trapezius, Posterior Deltoid, Supraspinatus","Dynamic Shoulder Instability, Shoulder Impingement / Subacromial Impingement, Upper Cross Syndrome, Posture (Hunched Shoulders), scapular winging, scapular dyskinesia, rotator cuff tendinitis",N/A,https://www.rehabhero.ca/exercise/incline-bench-full-can-raise
Incline Bench Lateral Raise,The incline bench lateral raise is a shoulder abduction and horizontal abduction strengthening exercise. Lie down on your stomach while on a bench set up to 45 degrees. Hold a dumbbell in each hand. Keep your chest on the bench during this exercise. Raise your arms to the side to raise the weight up. Focus on retracting the shoulder blades as you raise the weight up. Lower your arms to complete a repetition,"Upper Trapezius, Middle Trapezius, Posterior Deltoid, Supraspinatus","Dynamic Shoulder Instability, Shoulder Impingement / Subacromial Impingement, Upper Cross Syndrome, Posture (Hunched Shoulders), scapular winging, scapular dyskinesia, rotator cuff tendinitis",N/A,https://www.rehabhero.ca/exercise/incline-bench-lateral-raise
Incline Bench Y-Raise,"This is a scapula posterior tilting and up-rotation strengthening exercise. Lie down on your stomach while on a bench set up to 45 degrees. Hold a dumbbell in each hand. Keep your chest on the bench during this exercise. Raise your arms overhead at roughly 130 degrees abduction. Focus on tilting the scapula back as if to push the bottom edge of it into your rib cage, and the top edge of it off of the rib cage. Lower your arms to complete a repetition","Lower Trapezius, Serratus Anterior","Dynamic Shoulder Instability, Shoulder Impingement / Subacromial Impingement, Upper Cross Syndrome, Posture (Hunched Shoulders), scapular winging, scapular dyskinesia, rotator cuff tendinitis",N/A,https://www.rehabhero.ca/exercise/incline-bench-y-raise
Assisted Shoulder External Rotation,"The assisted shoulder external rotation exercise is used to strengthen the rotator cuff muscles. Start by setting up an exercise bench to 90 degrees and use the top of it to support your elbow. Stand in a split squat position to raise the elbow up to 90 degrees shoulder abduction. While keeping the elbow bent to 90 degrees flexion, raise a dumbbell by externally rotating the shoulder until your fist points up towards the ceiling. Lower the weight back down at a 2 second interval until the forearm is roughly parallel with the floor.","Rotator cuffteres minorinfraspinatus, teres minor, infraspinatus",N/A,N/A,https://www.rehabhero.ca/exercise/assisted-shoulder-external-rotation-1
Lunging Pigeon,The lunging pigeon exercise is a hip mobility exercise that targets the rotated thigh’s hip extensors. Set up a yoga mat on the floor. Start in a PIGEON POSE with the target side being the front leg. Begin to lunge forwards by extending your front hip while lifting the back leg off of the floor. Lunge forwards by planting the previously back leg in front of you. Generate the forward lunging motion through the contraction of your hip extensors. Return to a pigeon pose to complete one repetition.,N/A,N/A,"Gluteus Maximus, Gluteus Medius, Piriformis",https://www.rehabhero.ca/exercise/lunging-pigeon
Segmental Thoracic Extension,"The segmental thoracic extension exercise is a self directed joint mobilization exercise for the thoracic spine. This exercise requires an exercise bench or a stable cushioned chair. Start by supporting your back with the targeted region of your spine placed at the edge of the bench. Use both hands to grab the opposite end of the bench and use your arms to stabilize your body. Your legs can be anywhere between hip and shoulder distance apart with the hips extended so that you’re in a bridge position. Be sure to maintain bench contact with your head, neck, and shoulders. Begin by gently lowering the hips towards the ground, dropping only as deep as tolerated by your back (do not push through pain, stick to pain free ranges of motion). Stay at the bottom position for up to 2 seconds and raise the hips back up to return the spin back to a neutral position.",N/A,N/A,"Thoracic spineThoracic Facet Jointcostovertebral jointcostotransverse joint, Thoracic Facet Joint, costovertebral joint, costotransverse joint",https://www.rehabhero.ca/exercise/segmental-thoracic-extension
